VelControlTask  ,11.322,Cmd,-0.000, Enc, 0.000, Gyro,-0.016
VelControlTask  ,11.323,Cmd,-0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.324,Cmd,-0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.325,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.326,Cmd,-0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.327,Cmd,-0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.328,Cmd,-0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.329,Cmd,-0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.330,Cmd,-0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.331,Cmd,-0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.332,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.333,Cmd,-0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.334,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.335,Cmd,-0.001, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.336,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.337,Cmd,-0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.338,Cmd,-0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.339,Cmd,-0.000, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.340,Cmd,-0.000, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.341,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.342,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.343,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.344,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.345,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.346,Cmd,-0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.347,Cmd,-0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.348,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.349,Cmd,-0.000, Enc, 0.000, Gyro,-0.003
VelControlTask  ,11.350,Cmd,-0.000, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.351,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.352,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
