VelControlTask  ,14.842,Enc, 0.000, Gyro,-0.019
VelControlTask  ,14.843,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.844,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.845,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.846,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.847,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.848,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.849,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.850,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.851,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.852,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.853,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.854,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.855,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.856,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.857,Enc, 0.000, Gyro,-0.003
VelControlTask  ,14.858,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.859,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.860,Enc, 0.000, Gyro, 0.002
VelControlTask  ,14.861,Enc, 0.000, Gyro, 0.002
VelControlTask  ,14.862,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.863,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.864,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.865,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.866,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.867,Enc, 0.000, Gyro, 0.002
VelControlTask  ,14.868,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.869,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.870,Enc, 0.000, Gyro,-0.003
VelControlTask  ,14.871,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.872,Enc, 0.000, Gyro, 0.002
VelControlTask  ,14.873,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.874,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.875,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.876,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.877,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.878,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.879,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.880,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.881,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.882,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.883,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.884,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.885,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.886,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.887,Enc, 0.000, Gyro,-0.003
VelControlTask  ,14.888,Enc, 0.000, Gyro,-0.003
